neighbourhood_group,neighbourhood
1,Albany Creek
2,Albion
3,Alderley
4,Algester
5,Annerley
6,Ascot
7,Ashgrove
8,Aspley
9,Auchenflower
10,Bald Hills
11,Balmoral
12,Bardon
13,Bellbowrie - Moggill
14,Belmont - Gumdale
15,Birkdale
16,Boondall
17,Bracken Ridge
18,Bridgeman Downs
19,Brighton (Qld)
20,Brisbane Airport
21,Brisbane City
22,Brisbane Port - Lytton
23,Brookfield - Kenmore Hills
24,Bulimba
25,Calamvale - Stretton
26,Camira - Gailes
27,Camp Hill
28,Cannon Hill
29,Capalaba
30,Carina
31,Carina Heights
32,Carindale
33,Carole Park
34,Carseldine
35,Chapel Hill
36,Chelmer - Graceville
37,Chermside
38,Chermside West
39,Clayfield
40,Collingwood Park - Redbank
41,Coopers Plains
42,Coorparoo
43,Corinda
44,Darra - Sumner
45,Deagon
46,Doolandella
47,Durack
48,Eagle Farm - Pinkenba
49,East Brisbane
50,Eight Mile Plains
51,Enoggera
52,Enoggera Reservoir
53,Esk
54,Everton Park
55,Fairfield - Dutton Park
56,Fig Tree Pocket
57,Forest Lake - Ellen Grove
58,Fortitude Valley
59,Geebung
60,Goodna
61,Grange
62,Greenslopes
63,Hamilton (Qld)
64,Hawthorne
65,Hendra
66,Highgate Hill
67,Hillcrest
68,Holland Park
69,Holland Park West
70,Inala - Richlands
71,Indooroopilly
72,Ipswich - North
73,Jindalee - Mount Ommaney
74,Kangaroo Point
75,Karalee - Barellan Point
76,Karana Downs
77,Kedron - Gordon Park
78,Kelvin Grove - Herston
79,Kenmore
80,Keperra
81,Kuraby
82,Lake Manchester - England Creek
83,Logan Central
84,Lowood
85,Macgregor (Qld)
86,Manly - Lota
87,Manly West
88,Mansfield (Qld)
89,McDowall
90,Middle Park - Jamboree Heights
91,Mitchelton
92,Moorooka
93,Moreton Island
94,Morningside - Seven Hills
95,Mount Coot-tha
96,Mount Gravatt
97,Murarrie
98,Murrumba Downs - Griffin
99,New Farm
100,Newmarket
101,Newstead - Bowen Hills
102,Norman Park
103,Northgate - Virginia
104,Nudgee - Banyo
105,Nundah
106,Oxley (Qld)
107,Paddington - Milton
108,Pallara - Willawong
109,Parkinson - Drewvale
110,Pinjarra Hills - Pullenvale
111,Red Hill (Qld)
112,Riverhills
113,Riverview
114,Robertson
115,Rochedale - Burbank
116,Rochedale South - Priestdale
117,Rocklea - Acacia Ridge
118,Runcorn
119,Salisbury - Nathan
120,Samford Valley
121,Sandgate - Shorncliffe
122,Seventeen Mile Rocks - Sinnamon Park
123,Sheldon - Mount Cotton
124,Sherwood
125,South Brisbane
126,Spring Hill
127,Stafford
128,Stafford Heights
129,St Lucia
130,Strathpine - Brendale
131,Sunnybank
132,Sunnybank Hills
133,Taigum - Fitzgibbon
134,Taringa
135,Tarragindi
136,The Gap
137,The Hills District
138,Thorneside
139,Tingalpa
140,Toowong
141,Underwood
142,Upper Kedron - Ferny Grove
143,Upper Mount Gravatt
144,Wacol
145,Wakerley
146,Wavell Heights
147,West End
148,Westlake
149,Wilston
150,Windsor
151,Wishart
152,Woodridge
153,Woolloongabba
154,Wooloowin - Lutwyche
155,Wynnum
156,Wynnum West - Hemmant
157,Yeronga
158,Zillmere